state,year,crop_type,cultivation_area_hectares,cost_of_production_per_hectare,rainfall_mm
Tamil_Nadu,2018,Rice,1300,700,500
Tamil_Nadu,2018,Wheat,1200,650,480
Tamil_Nadu,2018,Corn,1100,600,450
Tamil_Nadu,2018,Soybean,1250,640,490
Tamil_Nadu,2018,Mustard,1400,680,500
Tamil_Nadu,2019,Rice,1350,710,510
Tamil_Nadu,2019,Wheat,1250,670,490
Tamil_Nadu,2019,Corn,1150,620,460
Tamil_Nadu,2019,Soybean,1300,660,500
Tamil_Nadu,2019,Mustard,1450,700,520
Tamil_Nadu,2020,Rice,1400,720,520
Tamil_Nadu,2020,Wheat,1300,680,500
Tamil_Nadu,2020,Corn,1200,640,470
Tamil_Nadu,2020,Soybean,1350,680,510
Tamil_Nadu,2020,Mustard,1500,720,540
Tamil_Nadu,2021,Rice,1450,740,530
Tamil_Nadu,2021,Wheat,1350,690,510
Tamil_Nadu,2021,Corn,1250,650,480
Tamil_Nadu,2021,Soybean,1400,700,520
Tamil_Nadu,2021,Mustard,1550,740,550
Tamil_Nadu,2022,Rice,1500,780,540
Tamil_Nadu,2022,Wheat,1400,710,530
Tamil_Nadu,2022,Corn,1300,670,490
Tamil_Nadu,2022,Soybean,1450,740,550
Tamil_Nadu,2022,Pulses,1500,720,550
Tamil_Nadu,2023,Rice,1550,800,550
Tamil_Nadu,2023,Wheat,1450,740,540
Tamil_Nadu,2023,Corn,1350,710,510
Tamil_Nadu,2023,Barley,1500,730,570
Tamil_Nadu,2023,Mustard,1600,740,590
Tamil_Nadu,2024,Rice,1600,810,560
Tamil_Nadu,2024,Wheat,1500,760,550
Tamil_Nadu,2024,Corn,1400,720,530
Tamil_Nadu,2024,Soybean,1550,740,570
Tamil_Nadu,2024,Pulses,1650,760,600
Karnataka,2018,Rice,1300,780,620
Karnataka,2018,Wheat,1100,700,550
Karnataka,2018,Corn,1200,720,580
Karnataka,2018,Barley,1400,740,590
Karnataka,2018,Mustard,1500,700,540
Karnataka,2019,Rice,1350,790,640
Karnataka,2019,Wheat,1150,710,570
Karnataka,2019,Corn,1250,730,600
Karnataka,2019,Soybean,1300,740,620
Karnataka,2019,Pulses,1600,760,580
Karnataka,2020,Rice,1400,800,660
Karnataka,2020,Wheat,1200,720,590
Karnataka,2020,Corn,1300,740,610
Karnataka,2020,Barley,1450,750,580
Karnataka,2020,Mustard,1600,730,600
Karnataka,2021,Rice,1450,810,670
Karnataka,2021,Wheat,1250,730,600
Karnataka,2021,Corn,1350,750,620
Karnataka,2021,Soybean,1400,740,630
Karnataka,2021,Pulses,1650,770,610
Karnataka,2022,Rice,1500,820,680
Karnataka,2022,Wheat,1300,740,610
